PRISM Time Series Data
Location:  Lat: 41.6397   Lon: -81.2763   Elev: 1142ft
"Climate variables: ppt,tmean"
Spatial resolution: 800m
Period: 1993-07 - 2023-06
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2025-Nov-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F)
2005-09,4.17,65.8
2005-10,3.75,53.7
2005-11,3.48,43.7
2005-12,2.95,25.3
2006-01,3.36,35.5
2006-02,3.76,27.3
2006-03,2.21,34.3
2006-04,2.45,50.3
2006-05,5.25,58.2
2006-06,5.27,65.0
2006-07,13.44,72.2
2006-08,3.44,69.9
2006-09,5.14,60.9
2006-10,6.45,48.6
2006-11,2.44,43.4
2006-12,5.32,36.9
2007-01,6.48,30.3
2007-02,2.38,16.9
2007-03,3.86,37.8
2007-04,4.17,44.5
2007-05,2.08,59.9
2007-06,2.66,67.4
2007-07,2.65,68.8
2007-08,7.85,70.4
2007-09,3.87,65.0
2007-10,3.56,58.7
2007-11,5.45,39.5
2007-12,5.46,30.5
2008-01,4.45,27.2
2008-02,6.54,24.3
2008-03,7.05,31.7
2008-04,1.91,51.9
2008-05,3.58,53.2
2008-06,4.95,69.1
2008-07,5.58,70.5
2008-08,3.83,67.0
2008-09,2.86,63.6
2008-10,4.31,49.0
2008-11,4.74,38.7
2008-12,5.99,29.3
2009-01,3.40,16.9
2009-02,2.62,26.6
2009-03,4.00,35.5
2009-04,4.76,47.4
2009-05,3.03,57.8
2009-06,4.58,63.9
2009-07,7.34,66.2
2009-08,2.55,69.1
2009-09,4.00,62.1
2009-10,4.75,48.5
2009-11,1.55,45.1
2009-12,3.80,27.8
2010-01,2.41,23.5
2010-02,3.83,22.9
2010-03,2.05,36.7
2010-04,2.69,50.9
2010-05,5.42,60.3
2010-06,5.05,69.1
2010-07,3.53,72.8
2010-08,3.00,71.3
2010-09,4.37,63.5
2010-10,4.93,51.6
2010-11,5.28,40.4
2010-12,3.44,24.0
2011-01,2.31,20.8
2011-02,5.88,25.0
2011-03,5.84,32.6
2011-04,6.13,47.3
2011-05,8.25,59.0
2011-06,3.68,67.1
2011-07,4.78,74.1
2011-08,9.45,68.8
2011-09,7.20,64.0
2011-10,9.04,51.2
2011-11,5.16,46.2
2011-12,6.47,34.7
2012-01,4.50,28.5
2012-02,2.40,32.6
2012-03,3.76,47.6
2012-04,0.57,45.4
2012-05,2.50,62.3
2012-06,1.29,67.6
2012-07,3.28,73.9
2012-08,4.35,68.1
2012-09,5.46,61.3
2012-10,10.88,51.3
2012-11,2.57,38.2
2012-12,5.64,35.3
2013-01,3.50,27.9
2013-02,2.74,25.0
2013-03,3.01,31.1
2013-04,3.09,46.4
2013-05,3.33,60.4
2013-06,6.75,66.1
2013-07,8.65,70.9
2013-08,3.87,67.5
2013-09,2.33,61.4
2013-10,6.64,52.6
2013-11,4.98,37.6
2013-12,4.32,29.9
2014-01,3.07,17.6
2014-02,3.35,18.4
2014-03,2.79,26.8
2014-04,4.37,46.7
2014-05,3.57,58.0
2014-06,5.70,67.6
2014-07,6.95,67.6
2014-08,5.80,67.4
2014-09,4.58,61.5
2014-10,5.01,51.8
2014-11,4.19,35.8
2014-12,2.65,34.2
2015-01,3.78,19.9
2015-02,2.81,9.6
2015-03,1.77,30.0
2015-04,3.17,47.0
2015-05,5.54,62.1
2015-06,8.59,65.8
2015-07,4.13,68.9
2015-08,4.13,68.1
2015-09,4.53,66.6
2015-10,3.57,51.5
2015-11,2.46,46.0
2015-12,3.77,42.0
2016-01,2.67,24.6
2016-02,4.08,29.9
2016-03,4.47,41.6
2016-04,3.44,44.6
2016-05,3.43,56.6
2016-06,1.66,67.1
2016-07,4.23,72.2
2016-08,4.46,73.0
2016-09,6.88,66.1
2016-10,4.82,54.9
2016-11,2.79,44.3
2016-12,5.32,29.4
2017-01,6.21,31.5
2017-02,2.89,35.5
2017-03,4.10,35.7
2017-04,4.89,52.4
2017-05,6.71,55.6
2017-06,4.10,67.6
2017-07,4.56,70.2
2017-08,4.41,66.9
2017-09,3.42,63.5
2017-10,4.16,55.7
2017-11,6.21,39.4
2017-12,2.83,26.9
2018-01,3.32,22.2
2018-02,3.33,32.1
2018-03,5.33,31.2
2018-04,4.75,40.3
2018-05,4.21,63.1
2018-06,5.10,67.4
2018-07,5.20,71.6
2018-08,5.07,71.7
2018-09,5.13,66.7
2018-10,6.86,52.3
2018-11,6.24,36.0
2018-12,1.94,33.5
2019-01,5.61,24.4
2019-02,2.60,28.3
2019-03,3.16,32.3
2019-04,4.59,47.4
2019-05,4.23,57.9
2019-06,7.86,65.2
2019-07,5.37,73.2
2019-08,3.37,68.3
2019-09,2.34,66.3
2019-10,3.29,53.8
2019-11,3.64,36.1
2019-12,3.53,34.2
2020-01,3.94,31.9
2020-02,3.34,29.4
2020-03,4.82,40.1
2020-04,3.54,42.6
2020-05,5.23,55.9
2020-06,3.65,66.6
2020-07,4.44,73.8
2020-08,5.72,68.6
2020-09,3.63,62.5
2020-10,8.30,51.5
2020-11,2.71,45.3
2020-12,5.29,32.4
2021-01,2.20,28.4
2021-02,1.68,22.6
2021-03,1.29,41.1
2021-04,3.86,48.5
2021-05,3.30,55.3
2021-06,4.96,69.1
2021-07,6.31,70.1
2021-08,5.83,72.3
2021-09,2.90,65.3
2021-10,7.01,58.2
2021-11,4.15,39.6
2021-12,2.97,37.5
2022-01,3.10,20.7
2022-02,4.39,27.4
2022-03,3.68,38.0
2022-04,3.70,45.0
2022-05,3.99,60.1
2022-06,1.68,67.1
2022-07,4.21,71.2
2022-08,4.11,70.5
2022-09,8.28,63.7
2022-10,6.30,49.8
2022-11,4.62,42.8
2022-12,1.56,30.9
2023-01,6.82,34.9
2023-02,3.12,34.1
2023-03,4.61,35.7
2023-04,3.80,48.7
2023-05,3.73,54.4
2023-06,4.05,63.5
